"Date","Price","Open","High","Low","Change %"
"Dec 31, 2020","5.894","5.905","5.905","5.887","-0.08%"
"Dec 30, 2020","5.899","5.933","5.933","5.899","-0.47%"
"Dec 29, 2020","5.927","5.935","5.935","5.924","0.03%"
"Dec 28, 2020","5.925","5.918","5.928","5.918","-0.07%"
"Dec 24, 2020","5.929","5.973","5.981","5.929","-0.35%"
"Dec 23, 2020","5.950","5.951","5.953","5.944","-0.02%"
"Dec 22, 2020","5.951","5.966","5.966","5.939","-0.10%"
"Dec 21, 2020","5.957","5.962","5.974","5.952","-0.03%"
"Dec 18, 2020","5.959","5.952","5.979","5.950","0.12%"
"Dec 17, 2020","5.952","5.955","5.955","5.938","0.13%"
"Dec 16, 2020","5.944","5.948","5.953","5.940","0.05%"
"Dec 15, 2020","5.941","5.926","5.949","5.923","-0.08%"
"Dec 14, 2020","5.946","5.970","5.970","5.935","-0.17%"
"Dec 11, 2020","5.956","5.943","5.960","5.920","0.68%"
"Dec 10, 2020","5.916","5.913","5.918","5.898","-0.02%"
"Dec 09, 2020","5.917","5.947","5.951","5.907","-0.37%"
"Dec 08, 2020","5.939","5.932","5.942","5.918","0.25%"
"Dec 07, 2020","5.924","5.908","5.929","5.906","0.46%"
"Dec 04, 2020","5.897","5.933","5.933","5.888","-0.59%"
"Dec 03, 2020","5.932","5.933","5.935","5.909","0.20%"
"Dec 02, 2020","5.920","5.951","5.951","5.919","-0.17%"
"Dec 01, 2020","5.930","5.919","5.930","5.909","0.32%"
"Nov 27, 2020","5.911","5.888","5.916","5.884","0.66%"
"Nov 26, 2020","5.872","5.895","5.895","5.869","-0.22%"
"Nov 25, 2020","5.885","5.902","5.902","5.876","0.09%"
"Nov 24, 2020","5.880","5.913","5.913","5.879","-0.34%"
"Nov 23, 2020","5.900","5.883","5.903","5.874","0.39%"
"Nov 20, 2020","5.877","5.877","5.887","5.871","0.02%"
"Nov 19, 2020","5.876","5.891","5.891","5.873","-0.03%"
"Nov 18, 2020","5.878","5.877","5.881","5.860","0.02%"
"Nov 17, 2020","5.877","5.888","5.888","5.866","-0.02%"
"Nov 13, 2020","5.878","5.915","5.915","5.875","-0.42%"
"Nov 12, 2020","5.903","5.923","5.923","5.903","0.00%"
"Nov 11, 2020","5.903","5.936","5.936","5.901","-0.22%"
"Nov 10, 2020","5.916","5.908","5.918","5.899","0.68%"
"Nov 09, 2020","5.876","5.883","5.886","5.871","0.09%"
"Nov 06, 2020","5.871","5.846","5.873","5.837","0.19%"
"Nov 05, 2020","5.860","5.883","5.883","5.855","-0.44%"
"Nov 04, 2020","5.886","5.896","5.896","5.876","-0.20%"
"Nov 03, 2020","5.898","5.888","5.914","5.888","0.14%"
"Nov 02, 2020","5.890","5.890","5.896","5.877","0.15%"
"Oct 29, 2020","5.881","5.874","5.886","5.852","0.38%"
"Oct 28, 2020","5.859","5.849","5.862","5.830","0.22%"
"Oct 27, 2020","5.846","5.849","5.860","5.830","0.21%"
"Oct 26, 2020","5.834","5.822","5.846","5.791","-0.17%"
"Oct 23, 2020","5.844","5.898","5.898","5.844","-1.20%"
"Oct 22, 2020","5.915","5.913","5.918","5.903","0.05%"
"Oct 21, 2020","5.912","5.947","5.947","5.912","-0.32%"
"Oct 20, 2020","5.931","5.950","5.950","5.929","-0.15%"
"Oct 19, 2020","5.940","5.932","5.944","5.921","0.08%"
"Oct 16, 2020","5.935","5.944","5.944","5.910","0.63%"
"Oct 15, 2020","5.898","5.911","5.911","5.888","-0.03%"
"Oct 14, 2020","5.900","5.918","5.918","5.895","-0.07%"
"Oct 13, 2020","5.904","5.925","5.925","5.888","0.08%"
"Oct 12, 2020","5.899","5.945","5.945","5.889","-0.64%"
"Oct 09, 2020","5.937","6.042","6.042","5.920","-1.30%"
"Oct 08, 2020","6.015","6.025","6.030","6.012","0.02%"
"Oct 07, 2020","6.014","6.032","6.032","6.008","-0.20%"
"Oct 06, 2020","6.026","6.026","6.036","6.010","0.37%"
"Oct 05, 2020","6.004","6.018","6.018","5.989","0.13%"
"Oct 01, 2020","5.996","5.965","6.006","5.965","-0.32%"
"Sep 30, 2020","6.015","6.057","6.057","6.011","-0.36%"
"Sep 29, 2020","6.037","6.069","6.073","6.037","-0.31%"
"Sep 28, 2020","6.056","6.068","6.079","6.042","0.30%"
"Sep 25, 2020","6.038","6.041","6.041","6.003","0.77%"
"Sep 24, 2020","5.992","6.027","6.027","5.981","0.03%"
"Sep 23, 2020","5.990","5.996","6.003","5.989","-0.33%"
"Sep 22, 2020","6.010","6.027","6.027","5.991","-0.10%"
"Sep 21, 2020","6.016","6.027","6.027","6.005","0.03%"
"Sep 18, 2020","6.014","6.028","6.028","5.991","-0.31%"
"Sep 17, 2020","6.033","5.999","6.037","5.981","0.68%"
"Sep 16, 2020","5.992","6.046","6.046","5.992","-0.61%"
"Sep 15, 2020","6.029","6.045","6.045","6.014","-0.03%"
"Sep 14, 2020","6.031","6.074","6.074","6.026","-0.17%"
"Sep 11, 2020","6.041","6.109","6.109","6.017","-0.20%"
"Sep 10, 2020","6.053","5.998","6.053","5.985","1.07%"
"Sep 09, 2020","5.989","6.081","6.081","5.983","-1.11%"
"Sep 08, 2020","6.056","6.039","6.060","6.011","1.05%"
"Sep 07, 2020","5.993","5.956","5.995","5.938","1.06%"
"Sep 04, 2020","5.930","5.910","5.944","5.896","0.58%"
"Sep 03, 2020","5.896","5.919","5.919","5.878","-0.41%"
"Sep 02, 2020","5.920","5.957","5.957","5.918","-0.39%"
"Sep 01, 2020","5.943","5.949","5.961","5.934","-2.22%"
"Aug 31, 2020","6.078","6.117","6.117","6.071","-0.31%"
"Aug 28, 2020","6.097","6.187","6.192","6.096","-0.81%"
"Aug 27, 2020","6.147","6.201","6.201","6.143","-0.90%"
"Aug 26, 2020","6.203","6.184","6.209","6.136","0.75%"
"Aug 25, 2020","6.157","6.140","6.172","6.124","-1.03%"
"Aug 24, 2020","6.221","6.182","6.231","6.152","1.32%"
"Aug 21, 2020","6.140","6.047","6.144","6.034","2.33%"
"Aug 20, 2020","6.000","6.013","6.013","5.994","-0.13%"
"Aug 19, 2020","6.008","5.993","6.010","5.993","0.37%"
"Aug 18, 2020","5.986","5.991","5.994","5.975","0.18%"
"Aug 17, 2020","5.975","6.004","6.004","5.960","0.17%"
"Aug 14, 2020","5.965","5.993","5.993","5.934","1.19%"
"Aug 13, 2020","5.895","5.885","5.898","5.876","0.19%"
"Aug 12, 2020","5.884","5.922","5.926","5.880","-0.32%"
"Aug 11, 2020","5.903","5.910","5.910","5.885","0.17%"
"Aug 10, 2020","5.893","5.910","5.916","5.893","0.12%"
"Aug 07, 2020","5.886","5.879","5.893","5.868","0.41%"
"Aug 06, 2020","5.862","5.834","5.887","5.808","0.62%"
"Aug 05, 2020","5.826","5.840","5.840","5.824","-0.12%"
"Aug 04, 2020","5.833","5.855","5.855","5.823","-0.07%"
"Aug 03, 2020","5.837","5.846","5.848","5.836","0.00%"
"Jul 31, 2020","5.837","5.833","5.845","5.814","0.21%"
"Jul 30, 2020","5.825","5.852","5.852","5.819","-0.17%"
"Jul 29, 2020","5.835","5.870","5.870","5.832","-0.26%"
"Jul 28, 2020","5.850","5.889","5.889","5.850","-0.15%"
"Jul 27, 2020","5.859","5.835","5.860","5.813","0.72%"
"Jul 24, 2020","5.817","5.815","5.825","5.800","0.21%"
